abstract,date,title,url
3月15日，青岛市人民政府发布《关于进一步深化户籍制度改革的意见》。,2021-03-15 13:52,青岛出台户籍新政 取消购房落户面积限制,http://house.china.com.cn/newscenter/view/1707650.htm
3月8日记者获悉，郑州住房公积金管理中心关于征求住房公积金个人住房贷款政策调整意见和建议的通知。,2021-03-08 16:27,郑州拟调整公积金贷款政策：首套住房最高贷款70%,http://house.china.com.cn/newscenter/view/1706618.htm
"为严厉打击房地产市场违法违规行为，规范房地产市场秩序，防范房地产市场风险，营造海南自由贸易港良好的营商环境，根据省政府的统一部署，决定在全省开展房地产市场专项整治工作，制定本方案。",2021-03-08 16:22,海南省2021年房地产市场专项整治工作方案,http://house.china.com.cn/newscenter/view/1706617.htm
"在房价地价联动的基础上，商品住宅用地出让实行限价竞价；房管部门进一步强化新建商品住房项目价格备案复核，坚决防止上市销售项目备案价格过高。",2021-03-03 17:52,上海：严格新建商品住房价格备案管理 实施住房满5限售,http://house.china.com.cn/newscenter/view/1705995.htm
3月3日，上海市发布进一步加强本市房地产市场管理的通知。通知提出，在房价地价联动的基础上，商品住宅用地出让实行限价竞价；房管部门进一步强化新建商品住房项目价格备案复核，坚决防止上市销售项目备案价格过高。,2021-03-03 17:52,上海发布关于进一步加强本市房地产市场管理的通知,http://house.china.com.cn/newscenter/view/1705994.htm
"上海市进一步加强房地产市场管理，在房价地价联动的基础上，商品住宅用地出让实行限价竞价；房管部门进一步强化新建商品住房项目价格备案复核，坚决防止上市销售项目备案价格过高。",2021-03-03 17:48,上海：合理制定土地出让方案 严防高溢价 坚决遏制非理性拿地,http://house.china.com.cn/newscenter/view/1705993.htm
3月1日，济南市自然资源和规划局就《关于加强经营性用地出让管理的意见》（以下简称意见稿）公开征求意见，对拟供应土地出让前要满足的规划、建设、功能、运营和建筑与节能要求做出全新规定，拟出让地块出让起始价的参考因素更加透明化。对于诚信异常企业，将被限制或禁止参与土地交易。,2021-03-03 13:47,济南：住宅用地原则上不搭配其他用途土地出让,http://house.china.com.cn/newscenter/view/1705933.htm
3月3日上午，杭州市住房保障和房产管理局发布新政，从加强司法拍卖住房限购等四方面进一步规范房地产市场秩序。,2021-03-03 10:03,杭州：严格防范经营贷、消费贷违规流入房地产市场,http://house.china.com.cn/newscenter/view/1705873.htm
"非本市户籍居民家庭在本市购买第二套商品住房（新建商品住房或二手商品住房），须在购房之日前四年内在本市逐月连续缴纳社保满三年。新入户居民家庭购买第一套新建商品住房的，须在本市落户满半年、且在购房前两年内逐月连续缴纳社保满半年。",2021-02-27 00:55,东莞深夜调整限购政策：社保延长、首付提高、假离婚堵死,http://house.china.com.cn/newscenter/view/1705335.htm
"深圳市房地产中介协会官网显示，深圳市住房和建设局于2月23日发布《关于开展房地产经纪机构二手住房成交参考价格应用情况专项检查的通知》（简称《通知》），要求严厉查处房地产经纪机构二手住房挂牌价格超出成交参考价格的行为，引导理性交易，稳定市场预期。",2021-02-25 19:54,深圳：严厉查处中介机构二手房挂牌价超出成交参考价的行为,http://house.china.com.cn/newscenter/view/1705128.htm
"对于住宅用地“两集中”同步公开出让，即集中发布出让公告、集中组织出让活动，全年将分3批次集中统一发布住宅用地的招拍挂公告并实施招拍挂活动。",2021-02-25 18:32,济南官宣：2021年土地供应“两集中” 每年招拍挂不超过3次,http://house.china.com.cn/newscenter/view/1705123.htm
"中共中央、国务院印发了《国家综合立体交通网规划纲要》，并发出通知，要求各地区各部门结合实际认真贯彻落实。",2021-02-24 19:08,全文丨中共中央 国务院印发《国家综合立体交通网规划纲要》,http://house.china.com.cn/newscenter/view/1704910.htm
"江西省人民政府官网23日发布的《关于促进劳动力和人才社会性流动体制机制改革的实施意见》(简称《实施意见》)提出，全面放开全省城镇落户条件，全面取消城市落户限制。",2021-02-24 10:00,江西全面放开城镇落户条件 取消城市落户限制,http://house.china.com.cn/newscenter/view/1704785.htm
"近日，中共中央办公厅、国务院办公厅印发了《关于加快推进乡村人才振兴的意见》，并发出通知，要求各地区各部门结合实际认真贯彻落实。",2021-02-23 19:26,中办、国办印发《关于加快推进乡村人才振兴的意见》,http://house.china.com.cn/newscenter/view/1704722.htm
"优化土地资源配置。支持革命老区重点城市开展城镇低效用地再开发，对损毁的建设用地和零星分散的未利用地开发整理成耕地的，经认定可用于占补平衡，允许城乡建设用地增减挂钩节余指标按规定在省域范围内流转使用。",2021-02-20 17:15,国务院：支持革命老区重点城市开展城镇低效用地再开发,http://house.china.com.cn/newscenter/view/1704314.htm
"浦口、六合、溧水、高淳区城镇地区落户限制放宽，对持有上述四区居住证、缴纳城镇职工社会保险6个月以上的人员，即可办理落户。",2021-02-18 19:18,南京发布落户新政：四区持居住证、社保满6个月可落户,http://house.china.com.cn/newscenter/view/1704093.htm
"《防范和处置非法集资条例》已经2020年12月21日国务院第119次常务会议通过，现予公布，自2021年5月1日起施行。",2021-02-10 20:04,全文丨《防范和处置非法集资条例》通过,http://house.china.com.cn/newscenter/view/1703908.htm
"严格实施贷前调查。加强客户资质和信用状况审核，关注客户获得经营性贷款借款人资格的时间，审慎发放仅以企业实际控制人身份申请的个人经营性贷款。",2021-02-10 16:24,北京银保监局：加强个人经营性贷款管理 防范信贷资金违规流入房地产市场,http://house.china.com.cn/newscenter/view/1703900.htm
2021年2月9日下午，北京市房地产市场联合专项核查工作组对部分银行机构，以及链家、我爱我家、中原地产等经纪机构总部或门店，开展了经营贷发放和中介活动专项检查。,2021-02-10 12:28,北京：深入开展经营贷发放和中介活动专项检查,http://house.china.com.cn/newscenter/view/1703898.htm
"报告指出，牢牢坚持房子是用来住的、不是用来炒的定位，坚持不将房地产作为短期刺激经济的手段，坚持稳地价、稳房价、稳预期，保持房地产金融政策的连续性、一致性、稳定性，实施好房地产金融审慎管理制度，完善金融支持住房租赁政策体系。",2021-02-08 22:29,央行货币政策执行报告：坚持房住不炒 稳地价、稳房价、稳预期,http://house.china.com.cn/newscenter/view/1703861.htm
